;;;;;;;Nexus Venture Partners, Omidyar Network and Shunwei Capital;Nexus ;Venture Partners, Omidyar Network and Shunwei Capital
;;;;;;;Accel (formerly known as Accel Partners);Accel ;(formerly known as Accel Partners)
;;;;;;;;;
;;;;;;;Y Combinator;Y ;Combinator
;;;;;;;Ajay Relan and Vinay Mittal;Ajay ;Relan and Vinay Mittal
;;;;;;;MDI Ventures & Telkom Indonesia;MDI ;Ventures & Telkom Indonesia
;;;;;;;Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital;Shunwei ;Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital
;;;;;;;Info Edge (India) Ltd and Temasek;Info ;Edge (India) Ltd and Temasek
;;;;;;;Info Edge (India) Ltd;Info ;Edge (India) Ltd
;;;;;;;Insignia Ventures Partners, Lightbridge Partners & Kairos;Insignia ;Ventures Partners, Lightbridge Partners & Kairos
;;;;;;;Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others;Avtar ;Monga, chief operating office at IDFC Bank, Aditya Malik & Others
;;;;;;;Venture Catalysts;Venture ;Catalysts
;;;;;;;;;
;;;;;;;Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma;Stellaris ;Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma
;;;;;;;Base of Pyramid Asia (BOPA) Pte Ltd;Base ;of Pyramid Asia (BOPA) Pte Ltd
;;;;;;;Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others;Rishi ;Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others
;;;;;;;Brand Capital and Others;Brand ;Capital and Others
;;;;;;;Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others.;Siddharth ;Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others.
;;;;;;;Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital;Creation ;Investments, Falcon Edge, Matrix Partners India and Zodius Capital
;;;;;;;Kingsway FCI Fund, KCK Global & Others;Kingsway ;FCI Fund, KCK Global & Others
;;;;;;;Omidyar Network & Others;Omidyar ;Network & Others
;;;;;;;TPG Growth, The Rise Fund & Others;TPG ;Growth, The Rise Fund & Others
;;;;;;;;;
;;;;;;;PayU & Others;PayU ;& Others
;;;;;;;;;
;;;;;;;AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.;AngelList, ;Rahul Khanna, Rajeev Arora and Ram Ramsundar.
;;;;;;;Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others;Metaform ;Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others
;;;;;;;Gray Matters;Gray ;Matters
;;;;;;;;;
;;;;;;;Allcargo Logistics, Navneet Education and Mahavir Agency;Allcargo ;Logistics, Navneet Education and Mahavir Agency
;;;;;;;BeeNext , WEH Ventures and Sprout Ventures;BeeNext ;, WEH Ventures and Sprout Ventures
;;;;;;;Ventureast and Exfinity;Ventureast ;and Exfinity
;;;;;;;Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others;Bharat ;Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others
;;;;;;;;;
;;;;;;;Lindwall Family Investments LLC (LFI);Lindwall ;Family Investments LLC (LFI)
;;;;;;;Amazon Alexa Fund & Dentsu Ventures;Amazon ;Alexa Fund & Dentsu Ventures
;;;;;;;IDG Ventures, Accel Partners, Kalaari Capital and Others;IDG ;Ventures, Accel Partners, Kalaari Capital and Others
;;;;;;;TPG, Norwest Venture Partners, Sequoia Capital & Matrix Partners;TPG, ;Norwest Venture Partners, Sequoia Capital & Matrix Partners
;;;;;;;Kantilal Patel;Kantilal ;Patel
;;;;;;;Sabre Partners, Puneet Dalmia & Others;Sabre ;Partners, Puneet Dalmia & Others
;;;;;;;Aspire Logistics LLC;Aspire ;Logistics LLC
;;;;;;;Bhairavi Jani, Alok Divatia, Namrata Kaul, Sohail Hashemi, Aijaz Saleem;Bhairavi ;Jani, Alok Divatia, Namrata Kaul, Sohail Hashemi, Aijaz Saleem
;;;;;;;Anil Advani, Pramod Jain, Amrendra Reddy and Manish Satnaliwala.;Anil ;Advani, Pramod Jain, Amrendra Reddy and Manish Satnaliwala.
;;;;;;;NB Ventures and Others;NB ;Ventures and Others
;;;;;;;Oman India Joint Investment Fund (OIJIF);Oman ;India Joint Investment Fund (OIJIF)
;;;;;;;Sequoia Capital India, SAIF Partners, Y Combinator and Venture Highway;Sequoia ;Capital India, SAIF Partners, Y Combinator and Venture Highway
;;;;;;;CapitalG, SAIF Partners and LGT Impact Ventures;CapitalG, ;SAIF Partners and LGT Impact Ventures
;;;;;;;Mumbai Angels Network;Mumbai ;Angels Network
;;;;;;;Alpha Capital;Alpha ;Capital
;;;;;;;Paragon Partners;Paragon ;Partners
;;;;;;;Saama Capital and Sequoia Capital;Saama ;Capital and Sequoia Capital
;;;;;;;Spiral Ventures, Subho Ray and Samir Kumar;Spiral ;Ventures, Subho Ray and Samir Kumar
;;;;;;;LetsVenture, Rajan Anandan, Basab Pradhan, Vivek Khare and Bijoy George;LetsVenture, ;Rajan Anandan, Basab Pradhan, Vivek Khare and Bijoy George
;;;;;;;Rannvijay Singha;Rannvijay ;Singha
;;;;;;;Brand Capital;Brand ;Capital
;;;;;;;Helix Investments;Helix ;Investments
;;;;;;;Lighthouse Funds & Thuasne Participations;Lighthouse ;Funds & Thuasne Participations
;;;;;;;Hyperplane Venture Capital and several angel investors;Hyperplane ;Venture Capital and several angel investors
;;;;;;;Menterra Venture & Artha Initiatives;Menterra ;Venture & Artha Initiatives
;;;;;;;Shorooq Investments, LetsVenture & Others;Shorooq ;Investments, LetsVenture & Others
;;;;;;;Accel Partners, Sequoia India, Y Combinator and others.;Accel ;Partners, Sequoia India, Y Combinator and others.
;;;;;;;Sequoia Capital, Accel Partners & Raghunandan Gangappa;Sequoia ;Capital, Accel Partners & Raghunandan Gangappa
;;;;;;;SoftBank Vision Fund & Info Edge (India) Ltd;SoftBank ;Vision Fund & Info Edge (India) Ltd
;;;;;;;Diageo India;Diageo ;India
;;;;;;;Equanimity Venture Fund;Equanimity ;Venture Fund
;;;;;;;One 97 Communications;One ;97 Communications
;;;;;;;Accel Partners, IDG Venture, Endiya Partners, pi Ventures, VH Capital, Axilor Ventures and Binny Bansal;Accel ;Partners, IDG Venture, Endiya Partners, pi Ventures, VH Capital, Axilor Ventures and Binny Bansal
;;;;;;;Undisclosed Existing Investors As Well As The Tamarind Family Trust;Undisclosed ;Existing Investors As Well As The Tamarind Family Trust
;;;;;;;Speciale Invest & Others;Speciale ;Invest & Others
;;;;;;;Leo Capital;Leo ;Capital
;;;;;;;Shiva Gunapu & Others;Shiva ;Gunapu & Others
;;;;;;;Unknown High Net-Worth Individuals;Unknown ;High Net-Worth Individuals
;;;;;;;B Capital, International Finance Corporation (IFC), Accel Partners and IDG Ventures;B ;Capital, International Finance Corporation (IFC), Accel Partners and IDG Ventures
;;;;;;;IL&FS Private Equity, Kae Capital & Others;IL&FS ;Private Equity, Kae Capital & Others
;;;;;;;;;
;;;;;;;Unitus Ventures, Behram Vakil and Jerxis Vandrevala;Unitus ;Ventures, Behram Vakil and Jerxis Vandrevala
;;;;;;;Rairah Corporation;Rairah ;Corporation
;;;;;;;Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others;Sunil ;Munjal, Harsh Mariwala, Dalip Pathak and Others
;;;;;;;Prime Venture Partners, Stellaris Venture Partners and Mayur Abhaya Srisrimal;Prime ;Venture Partners, Stellaris Venture Partners and Mayur Abhaya Srisrimal
;;;;;;;Blume ventures;Blume ;ventures
;;;;;;;Kalaari Capital, Unilever Ventures and Blume Ventures;Kalaari ;Capital, Unilever Ventures and Blume Ventures
;;;;;;;Credika and unnamed angel investors;Credika ;and unnamed angel investors
;;;;;;;;;
;;;;;;;RS Shanbag;RS ;Shanbag
;;;;;;;Insistor, Oikocredit;Insistor, ;Oikocredit
;;;;;;;Ashish Kacholi, S Chand Group;Ashish ;Kacholi, S Chand Group
;;;;;;;Atul Gupta and Saurabh Rastogi;Atul ;Gupta and Saurabh Rastogi
